image,group_idx,median_m,mean_m,count
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",0,19.440651090578292,19.217027537287787,12
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",1,17.833717617471763,17.912091596549487,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",2,21.546314247358115,21.546314247358115,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",3,25.52723200572717,25.52723200572717,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",4,26.50803980693176,26.50803980693176,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",0,19.53287720346947,19.53287720346947,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",1,16.703116007453314,16.703116007453314,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",2,16.55059736254071,14.017932083207953,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",3,13.406979821664855,13.406979821664855,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_right.jpg",0,18.7238841727275,19.11173456667785,20
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_right.jpg",1,22.125653907004654,22.125653907004654,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",0,12.244410761499287,12.244410761499287,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",1,19.055174988278143,18.018423225003698,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",2,21.79366680651137,21.79366680651137,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",3,9.60755688913941,9.60755688913941,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_right.jpg",0,22.55171292600087,33.83601534542377,11
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_right.jpg",1,21.64341940549385,23.350191032752356,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_right.jpg",2,20.9913843248251,20.9913843248251,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",0,23.10370380537031,23.10370380537031,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",1,19.77053039307075,19.77053039307075,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",2,52.9098061833603,47.62784437530837,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",3,19.48163633617583,18.89181466034101,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",4,433.82690779455334,433.82690779455334,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",5,23.352301340400633,23.352301340400633,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",6,291.5658187710008,291.5658187710008,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_right.jpg",0,24.082955445824467,26.633965837837824,17
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_right.jpg",1,18.08995437928969,18.78623205946692,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_right.jpg",2,29.814907040801984,29.814907040801984,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_right.jpg",3,27.96626132580669,27.96626132580669,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1004_left.jpg",0,19.275971173225578,19.275971173225578,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1004_left.jpg",1,17.93576577643784,17.93576577643784,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1004_right.jpg",0,15.19244007697125,13.433124044503804,24
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1004_right.jpg",1,19.833395121181542,20.529081170962233,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1004_right.jpg",2,25.384221034425494,25.384221034425494,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1004_right.jpg",3,108.18249141883163,108.18249141883163,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_left.jpg",0,12.015194610761384,11.708598872201602,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_left.jpg",1,9.636627824945943,9.636627824945943,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_left.jpg",2,9.739199664149123,10.078672728297516,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_left.jpg",3,14.83263699081245,14.83263699081245,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",0,27.64898934293619,28.857658309874374,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",1,27.77439946852744,27.749777016181394,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",2,28.92322818592397,28.92322818592397,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",3,10.197756712599809,10.197756712599809,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",4,122.36734305408856,122.36734305408856,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",5,8.2476841550573,8.209986511435478,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",6,48.100701190553046,46.59368562059111,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1005_right.jpg",7,26.761516749946942,26.761516749946942,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1006_left.jpg",0,12.410466879977866,16.503908724826335,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1006_left.jpg",1,40.36088724775993,40.36088724775993,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1006_left.jpg",2,3.6419165553296606,3.6419165553296606,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1006_right.jpg",0,13.998386972843457,13.998386972843457,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1006_right.jpg",1,143.67777109583207,143.67777109583207,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1006_right.jpg",2,22.508846648634005,22.508846648634005,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1006_right.jpg",3,10.526180214184329,13.275064286555319,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1007_left.jpg",0,13.274602912239935,13.274602912239935,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1007_left.jpg",1,7.458230355596051,7.458230355596051,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_left.jpg",0,13.479559731474096,13.479559731474096,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_left.jpg",1,14.629859443687943,14.629859443687943,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_left.jpg",2,21.33083701031798,21.33083701031798,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_left.jpg",3,89.72230056653802,89.72230056653802,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_left.jpg",4,31.29058922023384,31.29058922023384,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_right.jpg",0,39.62576227969145,39.62576227969145,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_right.jpg",1,48.0861849622284,48.0861849622284,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1008_right.jpg",2,14.596866694206712,14.596866694206712,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_left.jpg",0,50.50843641950247,50.50843641950247,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_left.jpg",1,24.39000177440057,28.227479115728418,13
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_left.jpg",2,49.70846996728645,49.70846996728645,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_left.jpg",3,181.11981210018035,181.11981210018035,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_right.jpg",0,5.334450379417348,7.865488219300024,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_right.jpg",1,19.048803326398687,23.344773103959177,14
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_right.jpg",2,1.8915442604502615,1.8915442604502615,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_right.jpg",3,4.293151252788711,4.293151252788711,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_right.jpg",4,129.16923910552097,129.16923910552097,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1009_right.jpg",5,181.46894735209702,181.46894735209702,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/100_right.jpg",0,9.391541515768573,9.457159803716117,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/100_right.jpg",1,26.02342986179235,26.02342986179235,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/100_right.jpg",2,76.32688860605387,76.32688860605387,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/100_right.jpg",3,18.281708431867095,18.281708431867095,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_left.jpg",0,11.44042575459714,12.895265757421997,24
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_left.jpg",1,27.206687848292212,27.206687848292212,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_left.jpg",2,30.391844723108928,30.391844723108928,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_right.jpg",0,15.594259484258622,15.452604908897943,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_right.jpg",1,6.223128941691264,6.181977198686103,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_right.jpg",2,13.318481665336826,13.318481665336826,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_right.jpg",3,7.012739256261108,7.012739256261108,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1010_right.jpg",4,34.38283089470326,34.38283089470326,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1011_left.jpg",0,20.677733975584545,18.979003092766764,17
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1011_left.jpg",1,16.819911065021,18.176887978216218,8
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1011_left.jpg",2,2.2038598971015295,2.2038598971015295,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1011_right.jpg",0,16.84301048090705,16.84301048090705,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1011_right.jpg",1,15.561415111496405,14.405155652075402,8
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1011_right.jpg",2,16.347395548576113,19.576030479585995,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1011_right.jpg",3,14.549255322809833,13.46762859588525,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1012_left.jpg",0,5.505727991047983,5.53944229316939,15
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1012_left.jpg",1,10.606561895840143,10.784201696775305,9
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1012_left.jpg",2,11.092183703245915,11.092183703245915,2
