image,segment_idx,width_m,L_row,L_col,R_row,R_col
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",0,0.8549626450997259,131.50788543135238,341.3913290913315,453.9417390348227,375.73249327177064
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",1,0.8370307823004914,447.1287846424747,358.86586175149785,131.31035854864493,381.3050148065648
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",2,0.8697939633881562,129.88143150441596,325.8693544006131,454.5577231760222,382.4664398671668
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",3,0.8377461232369816,447.2559375832109,358.39015974869335,131.27851810414302,382.4604173499753
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",4,0.8171746587322547,277.1342440264111,104.89338654328503,245.61529098366304,411.5854468006621
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",5,0.8218494250248355,275.0218029797981,104.82246053830931,242.50650965259504,412.3152135522513
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",6,0.8235836506511011,272.9469574959411,104.9851744853305,239.573970257161,412.2074448819756
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",7,0.46135985818761543,387.5282173068217,225.93375185150862,396.33477596185026,423.94068183586955
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",8,0.41329382626542865,421.6187506665615,224.1446425818744,437.2768356326128,407.2254974500558
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",9,0.47767673159098595,376.81205213005506,221.2439318374652,383.2641211388174,424.0829264447068
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",10,0.24621064977094784,446.47634956070516,91.64226760044761,461.6888195851993,202.49440153314185
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",0,1.3220920522688493,18.90081856019666,338.4089502440232,480.9042803992278,361.8688454451396
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",1,1.3145536737663164,20.806300495471007,341.69861296329987,481.2098489328535,360.46659597720827
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",2,1.1433520762715255,482.20616471354055,342.90616752071577,66.76675840174124,377.25977658722167
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",3,1.13263181735159,481.76096152327256,338.9515785375159,70.23111084147988,384.53931062436135
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",4,1.3204224308412391,23.901018100700533,316.5817196825269,485.2739077570809,372.27587900749177
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",5,0.32331546585621224,452.6039889498129,132.39258806225033,482.0468418248936,278.0735100180081
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",0,0.5971539870300463,346.26041153466645,4.609775115254415,346.73776636220424,250.30211361918862
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",1,0.841557988079043,340.84348642409856,5.357667716923692,346.3598821710951,350.58607421568956
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",2,0.5427370604211816,107.3288950720515,24.11373494199873,94.94644558174974,193.68846575827803
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",3,0.9739736020636495,122.56068879456936,16.866250928466968,101.41883456460678,325.4570319188539
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",4,0.5981721897678953,346.72162783275945,4.035666006927098,346.78207226862713,250.20788065426015
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",5,0.9751370903535803,136.42188269400614,12.782813307983652,116.17919647109198,327.40338495078845
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",6,0.9732893756609526,130.39387431472244,14.539054336589292,109.78167033170368,326.1107732888984
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",7,0.9722609595782846,135.120973607457,13.040089322789408,114.8478645843758,326.2137434615527
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",8,0.519999881052689,98.3978831063438,27.321351148567178,86.2429681725117,187.93155667201808
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",9,0.971996379677602,132.0518213320006,13.892581426107808,111.57659787366612,325.731092075994
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",10,0.3330458833358494,454.36989721059734,158.25211105028848,459.20432609767613,309.89504931387546
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",0,1.3509643347850269,498.70535986781607,258.7507765334116,22.131374683656382,272.3751934051937
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",1,1.3504570103059255,499.4703102940418,257.85431428882436,22.773946225123282,274.2253014741769
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",2,1.3071816136442975,502.53319753003984,239.4374635437802,39.096205319830446,310.0852474948137
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",3,1.315897837918105,503.11310825745477,242.37298182797184,36.34215817357723,304.45963394533567
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",4,0.7244965774531701,353.75666056697196,4.585608006269741,346.49715529402766,303.6317485869849
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",0,1.4060467333945579,23.61797915325872,333.6257183089898,513.2214313006115,430.68326874434695
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",1,1.4042430175943403,510.8080716620756,389.76474381867183,16.351720684268173,410.28054643205223
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",2,1.425635448098019,14.395517539010303,371.87583038074183,515.1587279961713,409.9053480738739
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",3,1.4044208705470573,22.135959632991575,340.6318835283667,512.4205062242783,426.6392375587461
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",4,1.6498215909706335,77.90525818064599,126.1147761140676,505.1280373663013,563.7469172344448
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",5,0.392360279535895,545.8865275755848,295.3549630927272,560.8278263109355,488.66905164176785
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",6,0.7002977068816311,485.09556986978606,295.1667252243419,502.7709222471241,624.102922469554
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",7,0.3456327119124653,468.129435200669,80.92199028167717,476.32614315371524,240.29871612115312
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",8,0.3935022889127349,546.202076772633,295.2482098662084,561.2153145947548,489.1781882483341
