building_id,facade_id,pt_id,x,y,distance_m,aov_deg,heading_deg,heading_idx,lng,lat
0,0,3644,2076123.1689654747,7235849.872258868,10.527152403569414,70.4969303733759,306.82265060654464,0,18.650131743963417,54.34542962844003
0,0,3644,2076123.1689654747,7235849.872258868,10.527152403569414,70.4969303733759,327.9717297185574,1,18.650131743963417,54.34542962844003
0,0,3644,2076123.1689654747,7235849.872258868,10.527152403569414,70.4969303733759,349.1208088305702,2,18.650131743963417,54.34542962844003
0,3,3642,2076112.3145713727,7235821.904764558,8.63672779846168,59.17797421307301,320.77044645288134,0,18.6500342372822,54.345283183274994
0,3,3642,2076112.3145713727,7235821.904764558,8.63672779846168,59.17797421307301,338.5238387168032,1,18.6500342372822,54.345283183274994
0,3,3642,2076112.3145713727,7235821.904764558,8.63672779846168,59.17797421307301,356.2772309807251,2,18.6500342372822,54.345283183274994
0,1,3643,2076117.7267152865,7235835.894357056,9.71417378285366,38.63155452483352,332.02435043291337,0,18.650082855398175,54.345356436530494
0,1,3643,2076117.7267152865,7235835.894357056,9.71417378285366,38.63155452483352,343.61381679036344,1,18.650082855398175,54.345356436530494
0,1,3643,2076117.7267152865,7235835.894357056,9.71417378285366,38.63155452483352,355.2032831478135,2,18.650082855398175,54.345356436530494
0,0,3643,2076117.7267152865,7235835.894357056,11.073462484800409,37.43245244433375,10.416084541646947,0,18.650082855398175,54.345356436530494
0,0,3643,2076117.7267152865,7235835.894357056,11.073462484800409,37.43245244433375,21.64582027494707,1,18.650082855398175,54.345356436530494
0,0,3643,2076117.7267152865,7235835.894357056,11.073462484800409,37.43245244433375,32.875556008247194,2,18.650082855398175,54.345356436530494
0,2,3643,2076117.7267152865,7235835.894357056,9.86232708806484,33.94095748349491,297.14527354115074,0,18.650082855398175,54.345356436530494
0,2,3643,2076117.7267152865,7235835.894357056,9.86232708806484,33.94095748349491,307.32756078619923,1,18.650082855398175,54.345356436530494
0,2,3643,2076117.7267152865,7235835.894357056,9.86232708806484,33.94095748349491,317.5098480312477,2,18.650082855398175,54.345356436530494
1,6,14739,2076115.37409208,7236049.252818798,15.356590296415275,118.43399107728142,26.443634654147058,0,18.650061721424333,54.34647362243695
1,6,14739,2076115.37409208,7236049.252818798,15.356590296415275,118.43399107728142,61.973831977331486,1,18.650061721424333,54.34647362243695
1,6,14739,2076115.37409208,7236049.252818798,15.356590296415275,118.43399107728142,97.50402930051592,2,18.650061721424333,54.34647362243695
1,8,95,2076158.904455537,7236100.543252619,22.947008018322755,114.34206075775704,207.53129211570544,0,18.650452761332502,54.34674218447746
1,8,95,2076158.904455537,7236100.543252619,22.947008018322755,114.34206075775704,241.83391034303253,1,18.650452761332502,54.34674218447746
1,8,95,2076158.904455537,7236100.543252619,22.947008018322755,114.34206075775704,276.13652857035964,2,18.650452761332502,54.34674218447746
1,6,14738,2076129.3200393305,7236043.729182742,14.53778401171937,113.88932141751324,43.05565624314538,0,18.650187,54.34644469999999
1,6,14738,2076129.3200393305,7236043.729182742,14.53778401171937,113.88932141751324,77.22245266839934,1,18.650187,54.34644469999999
1,6,14738,2076129.3200393305,7236043.729182742,14.53778401171937,113.88932141751324,111.38924909365333,2,18.650187,54.34644469999999
