building_id,facade_id,pt_id,x,y,distance_m,left_angle,right_angle,aov_deg,heading_deg,facade_len_m
0,0,3644,2076123.1689654747,7235849.872258868,10.527152403569414,292.72326453186946,3.220194905245357,70.4969303733759,327.9717297185574,15.366747991816956
0,3,3642,2076112.3145713727,7235821.904764558,8.63672779846168,308.9348516102667,8.112825823339724,59.17797421307301,338.5238387168032,9.829251613259164
0,1,3643,2076117.7267152865,7235835.894357056,9.71417378285366,324.2980395279467,2.929594052780199,38.63155452483352,343.61381679036344,7.018708411331102
0,0,3643,2076117.7267152865,7235835.894357056,11.073462484800409,2.929594052780199,40.36204649711394,37.43245244433375,21.645820274947077,15.366747991816956
0,2,3643,2076117.7267152865,7235835.894357056,9.86232708806484,290.3570820444518,324.2980395279467,33.94095748349491,307.32756078619923,7.579582985531332
1,6,14739,2076115.3740920797,7236049.252818798,15.356590296415275,2.756836438690768,121.1908275159722,118.43399107728142,61.97383197733148,52.21305141091881
1,8,95,2076158.904455537,7236100.543252619,22.947008018322755,184.66287996415403,299.00494072191105,114.34206075775704,241.83391034303253,72.08558159867691
1,6,14738,2076129.3200393305,7236043.729182742,14.53778401171937,20.277791959642723,134.16711337715597,113.88932141751324,77.22245266839934,52.21305141091881
1,8,94,2076145.2423216384,7236106.735675193,22.891149324434064,196.80931798140057,309.0097498822842,112.20043190088364,252.9095339318424,72.08558159867691
1,8,96,2076172.566589435,7236094.350830044,23.00286671126772,177.7496237804189,280.4356598084522,102.68603602803331,229.0926417944356,72.08558159867691
2,9,72,2075960.668179834,7236128.325577727,21.664132445799,289.9793760443088,6.520552132937401,76.54117608862856,328.2499640886231,35.42862844392752
2,9,73,2075956.127577048,7236114.02932205,20.184036070878427,314.8684643363829,30.27575159858083,75.40728726219794,352.5721079674819,35.42862844392752
2,9,71,2075965.20878262,7236142.621833402,23.280782560770856,278.09674014423223,330.5082425576972,52.41150241346497,304.3024913509647,35.42862844392752
2,9,78,2075951.6875278717,7236100.049663131,19.83326423263655,355.8584677279822,42.64017679711524,46.78170906913306,19.24932226254873,35.42862844392752
2,10,14747,2076005.8110642957,7236068.327565975,24.992176138518875,103.19942606325206,122.31006528098068,19.110639217728604,112.75474567211636,13.747559467330458
3,11,83,2075892.9804020715,7236110.73873323,14.723578980505756,21.78614913300613,90.48622672521267,68.70007759220655,56.13618792910941,21.206374053338205
3,11,82,2075907.299539116,7236106.365508366,13.12354094714101,67.37935483534243,125.26747378712174,57.88811895177932,96.32341431123209,21.206374053338205
3,11,84,2075879.934530548,7236117.818366295,15.730195673339868,1.168481452232131,34.846711018495995,33.678229566263866,18.007596235364066,21.206374053338205
3,12,81,2075922.0394070323,7236103.878095189,19.566837874938887,77.60648171031158,107.01059022510672,29.404108514795126,92.30853596770916,10.635664380305478
3,12,82,2075907.299539116,7236106.365508366,20.02469209787542,41.34973888361673,65.13296389007587,23.78322500645914,53.241351386846304,10.635664380305478
4,13,11832,2076221.496953277,7235990.353780307,7.738065972860832,5.703789572216609,109.03982013173156,103.33603055951494,57.37180485197408,21.104697763536556
4,13,11831,2076235.4088646683,7235984.744972818,7.51291958172577,73.65952611578619,138.2340829479802,64.574556832194,105.9468045318832,21.104697763536556
4,14,3855,2076251.9969874355,7236058.212721553,21.393143486550752,225.551189339347,277.6854373367898,52.1342479974428,251.6183133380684,21.0972562566589
4,14,3856,2076265.655811163,7236052.013001043,21.141355203054825,198.94155099511,240.74029280316427,41.7987418080543,219.84092189913716,21.0972562566589
4,14,3854,2076238.3381637088,7236064.412442061,22.743522040917703,263.8391286966715,298.8400455879081,35.00091689123667,281.3395871422898,21.0972562566589
5,16,11820,2076224.1580803895,7235904.653695269,10.628304970599538,76.18465237053833,191.65581507414524,115.47116270360692,133.92023372234178,72.72538104517385
5,17,11831,2076235.4088646683,7235984.744972818,8.05568382160862,193.43836099947265,295.55324441474005,102.11488341526744,244.49580270710635,20.023027425446937
5,17,11832,2076221.496953277,7235990.353780307,8.783715983836728,274.9880674400207,319.0862607508536,44.098193310832926,297.0371640954372,20.023027425446937
5,16,11829,2076263.2288803784,7235973.517933666,23.69959200420092,191.08704044698413,234.10387580479448,43.01683535781032,212.5954581258893,72.72538104517385
5,17,11830,2076249.3171079424,7235979.127083443,10.188063928930676,174.77076869410632,211.9552532124216,37.18448451831526,193.36301095326397,20.023027425446937
6,20,8656,2075723.391656336,7238308.600578826,13.43974321876081,41.91979505775582,121.59367505245436,79.67387999469854,81.75673505510508,23.71550569377163
6,19,8657,2075708.4249955276,7238308.144948348,13.844655440945044,63.19892296508637,132.59185182122332,69.39292885613695,97.89538739315483,20.04997146532154
6,20,8655,2075738.339372599,7238309.851889548,12.73109487217117,87.03477582066363,152.67529699171172,65.64052117104809,119.85503640618768,23.71550569377163
6,19,8658,2075693.4346650213,7238308.683456778,13.899834096866078,30.872465300741187,82.4412763828439,51.56881108210271,56.65687084179254,20.04997146532154
6,22,8654,2075753.2870888624,7238311.10320027,13.814426940956478,86.49124892510577,125.3174383661986,38.82618944109284,105.90434364565218,9.749550057159034
7,28,6386,2075886.0903503075,7238333.959058886,23.552347722812065,112.25201292699268,136.01430317666708,23.762290249674408,124.13315805182988,13.613813285157908
7,26,4009,2075799.2907688965,7238215.433834358,21.111064492765703,58.72231073543046,80.46861403717946,21.746303301749,69.59546238630496,8.139920223942676
7,26,4008,2075785.688015293,7238221.7554798545,22.935737123946897,25.71683159459915,41.37910282905066,15.66227123445151,33.547967211824904,8.139920223942676
9,33,4038,2076084.5560245889,7237957.498003538,23.669144627452923,144.3425444590282,272.4631274002276,128.12058294119942,208.4028359296279,98.0228347612354
9,33,4037,2076077.3104514375,7237970.631992639,24.099760695277183,152.48274081490212,278.44088614116055,125.95814532625845,215.46181347803133,98.0228347612354
9,33,4039,2076091.80159774,7237944.364014436,23.23852855962865,139.23680268784042,262.2034375781258,122.96663489028536,200.72012013298308,98.0228347612354
9,33,4036,2076070.0648782868,7237983.76598174,24.530376763101444,166.58393999499646,282.27650572149975,115.69256572650328,224.4302228582481,98.0228347612354
9,33,10962,2076088.4973044093,7237909.902582686,2.8867381471096425,122.24022528423689,236.2795815784028,114.03935629416588,179.25990343131983,98.0228347612354
