building_frac,largest_comp_frac,bbox_fill,touch_left,touch_right,touch_top,touch_bottom,aspect_bbox,image_id
0.7800830078125,0.9996682544550923,0.8447599407783418,1,1,0,1,1.0829103214890017,3223_left.jpg
0.0,0.0,0.0,0,0,0,0,0.0,3893_left.jpg
0.10091796875,0.47457422101799884,0.2503391472868217,1,1,0,0,2.4806201550387597,2513_right.jpg
0.0342529296875,0.7734853884533143,0.09160235567568979,1,0,0,0,2.374015748031496,5318_left.jpg
0.00322265625,0.9712121212121212,0.44,0,0,0,0,4.8,557_right.jpg
0.0037109375,0.8578947368421053,0.03544776119402985,1,1,0,1,9.552238805970148,1329_left.jpg
0.209599609375,0.9929995806737175,0.3945404411764706,1,1,0,1,1.8823529411764706,187_right.jpg
0.14297607421875,0.656506668032717,0.5650890143291359,0,1,0,1,1.0444444444444445,473_right.jpg
0.082705078125,0.5919825245011218,0.1415274064171123,1,1,0,0,1.7112299465240641,4068_right.jpg
0.2170458984375,0.9210928887989022,0.5405034046692607,1,1,0,0,2.490272373540856,858_left.jpg
0.00073974609375,1.0,0.6474358974358975,0,0,0,0,3.25,4677_right.jpg
0.116025390625,0.992298628061611,0.21295167765987955,0,1,0,1,1.8011363636363635,3375_left.jpg
0.10087158203125,1.0,0.5285802011104572,0,1,0,0,1.7894736842105263,391_left.jpg
0.2100341796875,0.9471579681506451,0.22629945286195285,1,1,0,0,1.0774410774410774,1152_left.jpg
0.30731689453125,0.9860657626095315,0.3474961351590106,1,1,0,1,1.1307420494699647,2250_right.jpg
0.84934326171875,0.9969703154148857,0.84934326171875,1,1,1,1,1.0,4543_right.jpg
0.825185546875,0.9998698209446265,0.8382837301587301,1,1,0,1,1.0158730158730158,719_left.jpg
0.2289013671875,0.9820815290428551,0.27745620265151516,1,1,0,0,1.2121212121212122,1770_right.jpg
0.2133251953125,0.9702213371786949,0.33057657384987893,1,1,0,1,1.549636803874092,1092_left.jpg
0.0283251953125,0.4833649370798138,0.2073451880975784,1,0,0,0,6.2,518_right.jpg
0.13673828125,0.8111162691044137,0.3241203703703704,1,1,0,1,2.3703703703703702,1457_right.jpg
0.5502685546875,0.9996051288877058,0.674158311598191,1,0,0,1,1.1947069943289226,4945_left.jpg
0.045283203125,0.4756847099417727,0.15581317204301076,1,1,0,0,3.4408602150537635,1393_left.jpg
0.13152099609375,0.7833342614764901,0.16926301104729347,1,0,0,0,1.2629482071713147,2263_right.jpg
0.19244384765625,0.6451887091658738,0.33019855898123324,1,1,0,0,1.7158176943699732,1984_right.jpg
0.0017333984375,1.0,0.6027164685908319,0,0,0,0,1.2258064516129032,2059_right.jpg
0.908779296875,0.997797096465683,0.908779296875,1,1,1,1,1.0,3927_left.jpg
0.081064453125,0.6609745813757378,0.24517100832890307,0,1,0,0,2.9027777777777777,2712_left.jpg
0.0661865234375,0.5947620804131317,0.2327438186813187,1,1,0,1,3.5164835164835164,477_left.jpg
0.524345703125,0.9998696291881624,0.7609552154195012,1,1,0,1,1.4512471655328798,1012_left.jpg
0.17891845703125,0.792017466057174,0.3103192750677507,1,1,0,0,1.7344173441734418,2511_left.jpg
0.04451904296875,0.6760625171373732,0.08959807389937106,1,1,0,1,2.0125786163522013,2613_right.jpg
0.2218212890625,0.9980408989852297,0.39877984550561796,1,1,0,1,1.797752808988764,3129_right.jpg
0.9566455078125,0.9984355939383731,0.9566455078125,1,1,1,1,1.0,4257_left.jpg
0.43767333984375,0.972399328391095,0.43767333984375,1,1,1,1,1.0,341_left.jpg
0.2268798828125,0.5449262886043258,0.4148660714285714,1,1,0,1,1.8285714285714285,1164_right.jpg
0.00343994140625,1.0,0.6381340579710145,0,0,0,0,0.9583333333333334,3403_right.jpg
0.25750732421875,0.993827921308367,0.6782085905349794,1,1,0,0,2.633744855967078,29_left.jpg
0.001728515625,1.0,0.6704545454545454,1,0,0,0,0.9696969696969697,162_left.jpg
0.01145263671875,0.5235557450437007,0.09048996913580247,1,1,0,0,7.901234567901234,1647_left.jpg
0.6758984375,0.9990355718661503,0.7808212996389892,1,1,0,1,1.1552346570397112,4324_right.jpg
0.12777099609375,0.996847234164517,0.2335528958149249,0,1,0,0,1.7881355932203389,3380_left.jpg
4.39453125e-05,1.0,0.9,1,0,0,1,0.8,4669_left.jpg
0.055,0.8973721590909091,0.23933367329593744,0,1,0,0,4.297297297297297,5258_right.jpg
0.25402587890625,0.6991513613778124,0.30388142523364486,1,1,0,0,1.1962616822429906,4419_left.jpg
0.03380615234375,0.619412147035459,0.21411782897788773,1,0,0,0,1.3004484304932735,3137_right.jpg
0.10346923828125,0.4629904910219202,0.1839453125,1,1,0,1,1.7777777777777777,2297_left.jpg
0.0573095703125,0.725952117236091,0.2147431206088993,0,1,0,0,1.8360655737704918,1026_right.jpg
0.7457421875,1.0,0.9039299242424242,1,1,0,1,1.2121212121212122,669_left.jpg
0.09911865234375,0.5566146949432252,0.12014382102272728,1,1,0,1,1.2121212121212122,1813_right.jpg
0.0,0.0,0.0,0,0,0,0,0.0,4104_left.jpg
0.0653076171875,0.8882242990654206,0.3603664286676546,1,0,0,0,4.392307692307693,5162_right.jpg
0.44631591796875,0.968317004994229,0.5600827205882353,1,1,0,1,1.2549019607843137,2481_left.jpg
0.26462646484375,1.0,0.7527152777777778,1,1,0,0,2.8444444444444446,1425_left.jpg
0.0837158203125,0.9881306503353747,0.12857142857142856,0,1,0,1,1.5119047619047619,1287_right.jpg
0.1384423828125,0.7356717102246676,0.18082270408163265,1,1,0,1,1.3061224489795917,3682_right.jpg
0.00037353515625,0.5751633986928104,0.06164383561643835,0,0,0,0,8.588235294117647,66_left.jpg
0.0085693359375,0.6356125356125356,0.03502854177477945,1,0,0,0,3.725609756097561,5288_right.jpg
0.06719482421875,0.663227119136722,0.2829255756578947,1,1,0,0,4.2105263157894735,406_left.jpg
0.1988330078125,0.9792244787701677,0.4528580960854093,1,1,0,1,2.2775800711743774,838_right.jpg
0.16781494140625,0.40979385192836465,0.4052889150943396,1,1,0,1,2.4150943396226414,1770_left.jpg
5.859375e-05,1.0,0.75,1,0,0,0,0.5,4108_right.jpg
0.052880859375,0.7072945521698984,0.23284313725490197,1,0,0,0,3.973856209150327,3430_right.jpg
0.07044921875,0.8191710562794566,0.309676865455404,0,1,0,1,2.401015228426396,146_right.jpg
0.37343017578125,0.9752610210712814,0.37343017578125,1,1,1,1,1.0,2135_right.jpg
0.3914404296875,0.992216248581087,0.3914404296875,1,1,1,1,1.0,3576_right.jpg
0.08420654296875,0.6395291525325447,0.19960069444444445,1,1,0,1,2.3703703703703702,2656_left.jpg
0.0,0.0,0.0,0,0,0,0,0.0,4051_left.jpg
0.99177978515625,0.9999409206046777,0.99177978515625,1,1,1,1,1.0,4242_right.jpg
0.65,0.5249286358173076,0.65,1,1,1,1,1.0,1987_left.jpg
0.05480712890625,0.9984854559223127,0.13186677631578947,1,1,0,1,2.406015037593985,1607_left.jpg
0.0,0.0,0.0,0,0,0,0,0.0,1036_right.jpg
0.0433984375,0.7570319531953196,0.09610726643598616,1,1,0,0,2.2145328719723185,791_right.jpg
0.46371337890625,0.9988311913950415,0.7456697550251257,1,1,0,0,1.6080402010050252,2379_left.jpg
0.0005908203125,1.0,0.8402777777777778,1,0,0,0,1.125,2669_right.jpg
0.47329833984375,0.9657593248840676,0.5286403795811518,1,1,0,1,1.1169284467713787,4535_left.jpg
0.1772314453125,0.9271289638262116,0.36472065916398716,1,1,0,1,2.057877813504823,1814_right.jpg
0.0555029296875,0.527623823348289,0.1480078125,1,1,0,1,2.6666666666666665,4021_left.jpg
0.3065625,0.9701595948012233,0.3065625,1,1,1,1,1.0,2470_right.jpg
0.11349609375,0.8072620891412837,0.1558744635193133,1,1,0,1,1.3733905579399142,653_left.jpg
